name,gender,age,status,penalty,time,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname
La Sportiva/Seiklushunt,men,open,,0,23:55:41,459,156,EST,Linnus,Sander,EST,Tammemäe,Timmo,,,,,,
Get Vaccinated!,men,open,,0,23:54:05,443,161,EST,Mirme,Sander,EST,Roose,Riivo,,,,,,
NOBE,men,open,,0,23:49:20,432,97,EST,Muru,Mehis,EST,Vilismäe,Martin,,,,,,
Juusa Seiklushunt,mixed,veteran,,0,23:49:34,419,119,EST,Fjodorov,Ain,EST,Tuula-Fjodorov,Reeda,,,,,,
Mürsk XV,men,open,,0,23:51:56,417,27,EST,Klais,Siim,EST,Roosaare,Märt,,,,,,
Divi Gunti,men,open,,0,23:49:37,416,110,LAT,Malins,Guntis,LAT,Smaukstelis,Guntis,,,,,,
Will be,men,veteran,,0,23:44:19,401,90,LAT,Klepers,Uldis,LAT,Petersons,Sandis,,,,,,
Õnnevalem,men,veteran,,0,23:39:20,398,157,EST,Hallik,Kaido,EST,Taivere,Eduard,,,,,,
Inov-8,men,veteran,,0,23:37:41,393,158,CZE,Čech,Radovan,CZE,Skripnik,Ondrej,,,,,,
Laid mums tur laimē diet,men,open,,0,23:44:20,389,125,LAT,Čunka,Valdis,LAT,Jasāns,Alberts,,,,,,
SASS,mixed,veteran,,0,23:49:24,382,235,EST,Grauen,Viljar,EST,Lemberg,Anneken,EST,Loorits,Neeme,,,
Baltų lokys,men,open,,0,23:59:54,377,185,LTU,Jasinevičius,Tomas,LTU,Rudys,Audrius,,,,,,
Seiklushunt Women,women,open,,0,23:54:39,376,249,EST,Pandis,Hannula-Katrin,EST,Tammemäe,Piibe,,,,,,
Mannid,women,open,,0,23:45:01,372,64,EST,Sulg,Mariann,EST,Terno,Maris,,,,,,
Tall and Small Czech veteran,men,veteran,,0,23:48:40,369,171,CZE,Kotyk,Jan,CZE,Seidl,Miroslav,,,,,,
Viimase minuti tramm,men,veteran,,0,23:59:05,361,17,EST,Mägi,Mati,EST,Osjamets,Madis,,,,,,
O+,mixed,veteran,,0,23:29:38,352,58,EST,Piirisild,Tõnis,EST,Vinne,Pille,,,,,,
Team Finland,men,veteran,,0,23:56:36,350,179,FIN,Vapa,Marko,FIN,Vapa,Mikko,,,,,,
SSVS,men,veteran,,0,23:39:36,348,44,UKR,Sirinok,Sergii,UKR,Volkov,Oleksandr,,,,,,
Raivojuoksijat,men,veteran,,0,23:52:54,348,94,FIN,Humppi,Manu,USA,Palmer,Jeremy,,,,,,
NO STRESS,men,veteran,,0,23:51:40,345,162,LAT,Skudra,Renārs,LAT,Šlosbergs,Viesturs,,,,,,
We are having fun,mixed,open,,0,23:45:13,343,153,CZE,Balcar,Aleš,CZE,Balcarova,Jana,,,,,,
Kad dzīvot sagribas,men,open,,0,23:51:56,333,12,LAT,Bergmanis,Toms,LAT,Lauders,Kārlis,,,,,,
Libahunt,mixed,veteran,,0,23:26:25,327,238,EST,Kakko,Mairolt,EST,Sild,Heidi,,,,,,
