id,name,gender,age,time,score,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname
171,LaSportiva,men,open,23:49:00,651,0,finished,EST,Timmo,Tammemäe,EST,Sander,Linnus,,,
197,Laid mums tur laime diet,men,open,23:50:17,640,0,finished,LAT,Zigmunds,Bibers,LAT,Peteris,Grivinš,,,
94,NOBE,men,open,23:56:09,615,0,finished,EST,Martin,Vilismäe,EST,Mehis,Muru,,,
10,Šmauders,men,open,23:45:49,610,0,finished,LAT,Karlis,Lauders,LAT,Guntis,Šmaukstelis,,,
189,Korto Pro,men,veteran,24:00:23,599,2,finished,EST,Rain,Eensaar,EST,Silver,Eensaar,,,
73,Tramm,men,open,23:40:34,589,0,finished,EST,Madis,Osjamets,EST,Priit,Pikk,,,
33,Mürsk XXI,men,open,23:47:38,570,0,finished,EST,Siim,Klais,EST,Märt,Roosaare,,,
186,Ilmäraeksimatud,men,open,23:49:59,566,0,finished,EST,Riivo,Roose,EST,Sander,Mirme,,,
162,Matter of Respect,men,open,23:51:40,557,0,finished,UKR,Volodymyr,Balovsiak,UKR,Yevhenii,Bryndak,,,
18,Juusa,mixed,veteran,23:43:26,555,0,finished,EST,Ain,Fjodorov,EST,Reeda,Tuula-Fjodorov,,,
151,Fast and Furious,men,open,23:44:55,555,0,finished,FIN,Mikko,Eklund,FIN,Manu,Humppi,,,
110,OK Laktaat,men,open,23:40:42,553,0,finished,EST,Hannes,Luidalepp,EST,Kristjan,Karabelnik,,,
188,ASA Tel Aviv OC,mixed,open,23:49:47,530,0,finished,ISR,Aleksandr,Ramazanov,ISR,Svetlana,Ezhunova,ISR,Georgii,Ilgach
56,Onud,men,veteran,23:27:17,529,0,finished,LAT,Einars,Masteiko,LAT,Janis,Viškers,,,
203,Vigadeparandus,mixed,open,23:49:29,511,0,finished,EST,Laidy,Proosväli,EST,Jano,Järvelaid,,,
157,Vyshnivka,mixed,open,23:43:17,503,0,finished,UKR,Irina,Trukhnii,UKR,Olexsandr,Trukhnii,UKR,Bohdan,Vorobets
28,Õnnevalem,men,veteran,23:29:40,502,0,finished,EST,Kaido,Hallik,EST,Eduard,Taivere,,,
90,100 km purva,mixed,veteran,23:53:01,488,0,finished,LAT,Ildze,Straume,LAT,Gunars,Ikaunieks,,,
159,Raket?,mixed,open,22:35:36,483,0,finished,UKR,Andrii,Marchuk,UKR,Oleksandr,Oryshko,UKR,Anna,Shumakova
122,Annid-Mannid,women,open,23:08:00,477,0,finished,EST,Hannula-Katrin,Pandis,EST,Margret,Zimmermann,,,
200,Baseilo juniors,mixed,youth,23:28:31,474,0,finished,EST,Sander,Pritsik,EST,Holger,Altmäe,EST,Hedvig,Altmäe
24,Mister and sister,mixed,open,23:36:52,473,0,finished,LAT,Janis,Užulis,LAT,Anita,Užule,,,
134,Smooth forest shaving,mixed,open,23:41:29,467,0,finished,LAT,Uldis,Klepers,LAT,Aiva,Klepere,,,
169,HO Catalunya 1,men,open,23:50:39,467,0,finished,ESP,Roger Virgili,Serrallonga,ESP,Jaume Folguera,Robert,CZE,Jaroslav,Najman
198,Team Kaitseliit,men,open,23:44:38,464,0,finished,EST,Indrek,Roos,EST,Jaanus,Roos,,,
116,Liedagi-35,mixed,open,23:48:30,463,0,finished,LAT,Fadejs,Precinieks,LAT,Zelma,Preciniece,,,
46,MariSiim,mixed,open,23:23:36,460,0,finished,EST,Maris,Palopääl,EST,Siim,Valgeväli,,,
166,Les Fugitifs,men,veteran,23:42:09,460,0,finished,EST,Reigo,Lehtla,EST,Hannes,Veide,,,
53,Will be,mixed,open,23:30:53,459,0,finished,LAT,Sandis,Petersons,LAT,Zane,Gruberte,,,
97,Soosõsara,women,open,23:35:53,457,0,finished,EST,Kersti,Jääger,EST,Pille,Vinne,,,
190,4 EstRunners,men,superveteran,23:55:15,456,0,finished,EST,Lauri,Lahtmäe,EST,Jaak,Väärsi,,,
202,No pressure,women,open,23:44:05,455,0,finished,EST,Maria,Novokovich,EST,Merili,Palu,,,
25,Mustikale,men,open,23:52:54,455,0,finished,EST,Jürgen,Arund,EST,Martin,Rohtsalu,,,
52,Tuuletallajad,mixed,open,23:30:47,454,0,finished,EST,Marika,Mander,EST,Heiko,Mander,,,
146,SASS,mixed,open,23:47:24,452,0,finished,EST,Neeme,Loorits,EST,Hedi,Laigar,,,
211,Ad Astra,mixed,veteran,23:24:53,451,0,finished,EST,Helen,Jürjo,EST,Arthur,Raichmann,,,
209,"Crawl, don't stop",mixed,open,23:57:20,449,0,finished,LAT,Kristine,Kadaša,LAT,Ugis,Inka,,,
145,At last together,women,superveteran,23:41:27,444,0,finished,LAT,Ilze,Lapina,LAT,Anita,Liepina,,,
3,Viimane koht ja täielik h,mixed,open,23:45:51,443,0,finished,EST,Hannes,Kuslap,EST,Liis,Siigur,,,
71,O+,mixed,open,23:46:36,443,0,finished,EST,Tõnis,Piirisild,EST,Birgit,Pokk,,,
80,Klajunas Ladies,women,veteran,23:47:47,443,0,finished,LTU,Inga,Žvinyte,LTU,Živile,Kanapkiene,,,
194,Klemmide sõbrad,men,superveteran,23:47:54,441,0,finished,EST,Gert,Saamann,EST,Alexander,Khalyapin,,,
161,WRC 2025 SPAIN,men,superveteran,23:38:21,440,0,finished,ESP,Roberto Pascual,Orcajo,ESP,Aurelio Antonio Olivar,Roldán,,,
111,B3/O3,women,veteran,23:46:17,439,0,finished,LAT,Ieva,Godina,LAT,Aiva,Jakovela,,,
131,Czech veteran 1,men,veteran,23:50:48,437,0,finished,CZE,Miroslav,Seidl,CZE,Martin,Sadilek,,,
16,Transcarpathia,mixed,youth,23:43:02,436,0,finished,UKR,Oleksandr,Zheliznyak,UKR,Oleksandra,Zhynkevych,,,
206,Sirius,women,veteran,23:48:52,429,0,finished,UKR,Daria,Tomash,EST,Imbi,Soome,,,
163,I can as much as I need,men,youth,23:37:19,427,0,finished,UKR,Pohrebets,Danylo,UKR,Andrii,Andrusiak,,,
147,NO STRES,men,veteran,23:51:10,427,0,finished,LAT,Viesturs,Šlosbergs,LAT,Renars,Skudra,,,
150,Just the 2 of Us,mixed,youth,23:46:09,425,0,finished,UKR,Ivan,Romanenko,UKR,Yelyzaveta,Zaitseva,,,
191,Roadwolf,men,open,23:49:18,425,0,finished,EST,Kristo,Proosväli,EST,Riivo,Kiljak,,,
98,DATAFOX,men,veteran,23:47:39,424,0,finished,EST,Marko,Külaots,EST,Gert,Müürsepp,,,
128,Fenix Team Ukraine,men,open,22:47:20,423,0,finished,UKR,Anton,Puhovkin,UKR,Yevhenyi,Chornyi,,,
183,Libahunt,mixed,superveteran,23:42:31,421,0,finished,EST,Jana,Kink,EST,Veikko,Tamlak,,,
23,Inlook Color-meie värvime,mixed,veteran,23:27:12,420,0,finished,EST,Katrin,Parts,EST,Margus,Parts,,,
89,Kännimäbi,mixed,open,23:37:49,417,0,finished,EST,Janek,Kähr,EST,Maigi,Kähr,,,
9,BUKOVYNA-KHARAKTERNYKY,mixed,superveteran,23:47:28,412,0,finished,UKR,Valentyna,Bevzo,UKR,Volodymyr,Lipka,,,
45,Nadiia & Magiya,women,open,23:28:39,410,0,finished,UKR,Nadiia,Starikova,UKR,Olena,Babych,,,
37,Jaunyste,mixed,open,23:13:20,408,0,finished,LTU,Romas,Ceplinskas,LTU,Reda,Einikyte,LTU,Kestutis,Vaicius
93,Okaskuup,mixed,superveteran,23:30:51,404,0,finished,EST,Kalle,Tammjärv,EST,Marika,Tammjärv,EST,Jüri,Lember
135,Dinner out,men,open,23:50:39,404,0,finished,LAT,Martins,Malzubris,LAT,Marcis,Plume,,,
67,GAUJIENA,men,veteran,23:48:44,403,0,finished,LAT,Raivis,Kalninš,LAT,Atis,Kalejs,,,
57,ALVI,women,superveteran,23:43:55,402,0,finished,EST,Marje,Viirmann,EST,Airi,Alnek,,,
47,Rändajad,women,veteran,23:27:05,401,0,finished,EST,Evelyn,Himma,EST,Merike,Mets,,,
6,Jautrie Tetuki,men,veteran,23:28:11,395,0,finished,LAT,Rolands,Auzinš,LAT,Normunds,Bakis,LAT,Janis,Girnis
109,Amperinš,women,open,23:32:52,395,0,finished,LAT,Aleksandra,Fjodorova,LAT,Madara,Apsalone,,,
68,Mitau elk,mixed,superveteran,23:50:06,391,0,finished,LAT,Ilmars,Dukulis,LAT,Inta,Porike,LAT,Ainars,Šilinš
59,Suured põhjad,mixed,open,22:20:07,390,0,finished,LAT,Didzis,Šapkus,LAT,Signe,Vilcane,,,
92,Eksirännakud,men,open,23:50:43,387,0,finished,EST,Argo,Miller,EST,Lauri,Valdmaa,,,
125,HP-Sport team,women,open,23:45:13,383,0,finished,EST,Helis,Pajuste,EST,Heleri,Pajuste,,,
27,AMBER FOX,women,veteran,23:26:02,381,0,finished,LAT,Ilze,Kremere,LAT,Ieva,Simsone,,,
187,Lendorav,mixed,superveteran,23:50:53,380,0,finished,EST,Mati,Preitof,EST,Tiina,Talisoo,EST,Aleksander,Pritsik
62,Olaine,mixed,ultraveteran,23:36:43,379,0,finished,LAT,Juris,Šinke,LAT,Arija,Šinke,,,
199,Sääsehirm,mixed,veteran,23:23:40,378,0,finished,EST,Merle,Lilleoru,EST,Aivo,Kaljumäe,,,
14,Mona W,women,superveteran,23:41:41,378,0,finished,LAT,Baiba,Purina,LAT,Velga,Busa,,,
82,Virutamm,men,superveteran,23:27:35,371,0,finished,EST,Urmas,Tammemäe,EST,Ülo,Viru,,,
76,Apsis ar ventilatoru,mixed,veteran,22:49:52,368,0,finished,LAT,Aija,Bartuševica,LAT,Oskars,Bartuševics,,,
117,PRIVATBUVE,men,ultraveteran,23:25:24,367,0,finished,LAT,Rolands,Laveikis,LAT,Vairis,Krauklis,,,
214,Mona V,mixed,superveteran,23:33:50,366,0,finished,LAT,Baiba,Ozola,LAT,Janis,Nagelis,,,
29,MI NORTE ES TU SUR,mixed,veteran,23:52:49,363,0,finished,ESP,Carlos,Lazkano,ESP,Itziar,Quintana,,,
119,Virvatuled,men,superveteran,23:22:29,362,0,finished,EST,Margus,Jaanus,EST,Andrus,Rämmann,,,
149,Sarmite,men,youth,23:36:34,359,0,finished,LAT,Austris,Kalninš,LAT,Ralfs,Silinš,,,
152,Vika Suunta,men,veteran,23:02:18,358,0,finished,FIN,Petteri,Nikki,FIN,Pasi,Pekkala,,,
138,Six-Toed Brothers,mixed,open,23:49:15,354,0,finished,LAT,Baiba,Alkšere,LAT,Nora,Baranovska,LAT,Guntars,Žilinskis
7,Hämmelung,mixed,open,23:41:17,352,0,finished,EST,Zaira,Sorokina,EST,Margus,Lehtme,,,
44,TDK Saansoliitis,men,open,23:19:07,351,0,finished,LAT,Kristaps,Tamužs,LAT,Edgars,Šadris,,,
170,Kuluar,mixed,open,23:32:02,351,0,finished,UKR,Dmytro,Sandul,UKR,Anna,Chuzha,,,
5,Adazi City,mixed,open,23:33:11,351,0,finished,LAT,Sniedze,Brakovska,LAT,Eduards,Pakis,,,
126,Kurzemes meitenes,women,superveteran,23:53:31,350,0,finished,LAT,Silvija,Penkule,LAT,Skaidrite,Otanke,,,
180,Cyber-elks,men,youth,22:38:56,349,0,finished,UKR,Andrii,Isaienko,UKR,Hryhorii,Polishchuk,,,
31,Ehtel & Riika,women,veteran,23:35:04,349,0,finished,EST,Ehtel,Taevere,EST,Riika,Ploompuu,,,
20,StepByStep,men,ultraveteran,23:37:06,348,0,finished,EST,Peep,Eomois,EST,Jüri,Rokko,EST,Johannes,Tasa
164,Maido & Joe,men,superveteran,23:53:02,346,0,finished,EST,Maido,Kaljur,EST,Joe,Lepp,,,
84,Latgalian guys,men,superveteran,23:27:15,344,0,finished,LAT,Evalds,Žogla,LAT,Edgars,Klavinš,,,
77,ULtRA,mixed,superveteran,23:29:38,343,0,finished,EST,Rain,Vellerind,EST,Ulvi,Lond,,,
43,IBIZA,women,superveteran,23:46:13,343,0,finished,LAT,Inese,Berzina,LAT,Iveta,Zagere,,,
160,Armchair experts,women,youth,23:30:00,342,0,finished,UKR,Alina,Myroniuk,UKR,Valentyna,Dushchak,,,
129,TON100+,men,veteran,22:16:32,340,0,finished,EST,Heiki,Savitsch,EST,Silvar,Savolainen,,,
