id,name,gender,age,time,score,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname
301,Šmauders,men,open,20:09:51,520,0,finished,LAT,Guntis,Šmaukstelis,LAT,Kārlis,Lauders,,,,,,
304,Pitagora slapjās bikses,men,open,20:47:20,520,0,finished,LAT,Alberts,Jasāns,LAT,Miķelis,Zumbergs,,,,,,
502,SuperKleperīgs meža skuvums,mixed,open,23:23:45,479,0,finished,LAT,Aiva,Klepere,LAT,Uldis,Klepers,,,,,,
804,100 km purvā,mixed,veteran,23:56:26,475,0,finished,LAT,Gunārs,Ikaunieks,LAT,Ildze,Straume,,,,,,
313,Kur latvju dēli dzied,men,open,23:41:16,456,0,finished,LAT,Guntars,Žilinskis,LAT,Rihards,Žilinskis,,,,,,
512,Bebri nesnauž!,mixed,open,23:44:22,452,0,finished,LAT,Sandis,Pētersons,LAT,Zane,Gruberte,,,,,,
604,BEZ STRESA,men,veteran,23:47:21,451,0,finished,LAT,Renārs,Skudra,LAT,Viesturs,Šlosbergs,,,,,,
509,Liedagi-35,mixed,open,23:49:53,438,0,finished,LAT,Fadejs,Precinieks,LAT,Zelma,Preciniece,,,,,,
501,Mēs ar brāli kolosāli,mixed,open,23:52:31,435,0,finished,LAT,Anita,Užule,LAT,Jānis,Užulis,,,,,,
406,AMPĒRIŅŠ,women,open,23:34:56,424,0,finished,LAT,Aleksandra,Fjodorova,LAT,Madara,Apsalone,,,,,,
808,Feel the motion,mixed,veteran,23:35:43,424,0,finished,LAT,Anžela,Šapovalova,LAT,Arnis,Grasis,,,,,,
405,ZVOCietes,women,open,23:33:19,399,0,finished,LAT,Dace,Gaigala,LAT,Kristīne,Kadaša,,,,,,
809,TAKA KM,mixed,veteran,23:43:19,398,0,finished,LAT,Dace,Traniņa,LAT,Gatis,ČIRKA,,,,,,
605,Jautrie Tētuki,men,veteran,23:37:34,394,0,finished,LAT,Jānis,Ģirnis,LAT,Rolands,Auziņš,,,,,,
401,Surikati,women,open,22:38:20,390,0,finished,LAT,Elīna,Petrovska,LAT,Ieva,Upmace-Grīviņa,,,,,,
514,SK Lejas Lībieši,mixed,open,23:59:09,385,0,finished,LAT,Inga,Sudāre-Špune,LAT,Mārtiņš,Sudārs,,,,,,
1107,Jäljed liival,mixed,superveteran,24:00:19,385,1,finished,EST,Gert,Saamann,EST,Imbi,Soome,,,,,,
505,Ādaži City,mixed,open,23:48:51,383,0,finished,LAT,Eduards,Pāķis,LAT,Sniedze,Brakovska,,,,,,
314,Spirta brūzis,men,open,23:34:08,377,0,finished,LAT,Didzis,Šapkus,LAT,Kristaps,Tamužs,,,,,,
1108,Ekspresis: Tukums - Rēzekne,mixed,superveteran,23:47:07,372,0,finished,LAT,Anita,Liepiņa,LAT,Ēvalds,Žogla,,,,,,
